arm,group,comparator,hypothesis,caveat,overrides_json
reverse,timescale,full,Test assignment versus merely predicting multiple horizons,All-equal horizons change action input parameter count; log actual params and valid-pair weighting,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.pdyn.enforce_coarse_to_fine"": false, ""agent.htp.pdyn.strides"": [1, 2, 4, 8, 16], ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
all1,timescale,full,Test assignment versus merely predicting multiple horizons,All-equal horizons change action input parameter count; log actual params and valid-pair weighting,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.pdyn.enforce_coarse_to_fine"": false, ""agent.htp.pdyn.strides"": [1, 1, 1, 1, 1], ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
all16,timescale,full,Test assignment versus merely predicting multiple horizons,All-equal horizons change action input parameter count; log actual params and valid-pair weighting,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.pdyn.enforce_coarse_to_fine"": false, ""agent.htp.pdyn.strides"": [16, 16, 16, 16, 16], ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
permuted,timescale,full,Test assignment versus merely predicting multiple horizons,All-equal horizons change action input parameter count; log actual params and valid-pair weighting,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.pdyn.enforce_coarse_to_fine"": false, ""agent.htp.pdyn.strides"": [4, 16, 1, 8, 2], ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
full_validnorm,normalization,full,Remove zero-tail dilution without changing model shapes,,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.pdyn.normalize_valid"": true, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
reverse_validnorm,normalization,reverse,Remove zero-tail dilution without changing model shapes,,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.pdyn.enforce_coarse_to_fine"": false, ""agent.htp.pdyn.normalize_valid"": true, ""agent.htp.pdyn.strides"": [1, 2, 4, 8, 16], ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
all1_validnorm,normalization,all1,Remove zero-tail dilution without changing model shapes,,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.pdyn.enforce_coarse_to_fine"": false, ""agent.htp.pdyn.normalize_valid"": true, ""agent.htp.pdyn.strides"": [1, 1, 1, 1, 1], ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
all16_validnorm,normalization,all16,Remove zero-tail dilution without changing model shapes,,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.pdyn.enforce_coarse_to_fine"": false, ""agent.htp.pdyn.normalize_valid"": true, ""agent.htp.pdyn.strides"": [16, 16, 16, 16, 16], ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
reset_mask,boundaries,full,Remove prediction pairs crossing resets,"Mask only, preserve original padded denominator","{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.pdyn.mask_resets"": true, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
reset_mask_validnorm,boundaries,full_validnorm,Episode-safe prediction with valid-pair normalization,,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.pdyn.mask_resets"": true, ""agent.htp.pdyn.normalize_valid"": true, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
recon_no_sg,reconstruction,full,Allow later reconstruction losses to update earlier residuals,,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.recon.stop_previous"": false, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
recon_final_only,reconstruction,recon_no_sg,Final-only versus intermediate-prefix reconstruction supervision,"Compare to recon_no_sg, not directly full: final-only with SG would starve earlier heads","{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.recon.final_only"": true, ""agent.htp.recon.stop_previous"": false, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
pdyn_no_sg,prediction,full,Allow prediction gradients into earlier context blocks,,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.pdyn.isolate_previous"": false, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
online_target,target,full,Online detached target instead of EMA target,,"{""agent.htp.ablation_online_target"": true, ""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
no_actions,conditioning,full,Zero action conditioning with identical parameter shapes,,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.pdyn.zero_actions"": true, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
ema_slow,target,full,Sensitivity to target update rate,,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0, ""agent.slowhtp.rate"": 0.005}"
ema_fast,target,full,Sensitivity to target update rate,,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0, ""agent.slowhtp.rate"": 0.1}"
rec_weak,loss_scale,full,Sensitivity of one coefficient while holding the other fixed,,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 0.1}"
rec_strong,loss_scale,full,Sensitivity of one coefficient while holding the other fixed,,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 10.0}"
pdyn_weak,loss_scale,full,Sensitivity of one coefficient while holding the other fixed,,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 0.1, ""agent.loss_scales.htp_rec"": 1.0}"
pdyn_strong,loss_scale,full,Sensitivity of one coefficient while holding the other fixed,,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 10.0, ""agent.loss_scales.htp_rec"": 1.0}"
wide_trunk,capacity,full,Test shared projection bottleneck width512 versus2048,Capacity and compute increase; not an isolated hierarchy claim,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.proj.hidden"": 2048, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
compact_code,capacity,full,Test total code width512 versus2048,Readout and auxiliary parameter counts change,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.pdyn.dims"": [32, 64, 128, 256, 512], ""agent.htp.proj.dims"": [32, 64, 128, 256, 512], ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
level1_short,levels,all1,Sensitivity to number of levels at fixed full code width,"Auxiliary head count/parameters change; report as structural package, not parameter-matched causal proof","{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.pdyn.dims"": [2048], ""agent.htp.pdyn.strides"": [1], ""agent.htp.proj.dims"": [2048], ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
level1_long,levels,all16,Sensitivity to number of levels at fixed full code width,"Auxiliary head count/parameters change; report as structural package, not parameter-matched causal proof","{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.pdyn.dims"": [2048], ""agent.htp.pdyn.strides"": [16], ""agent.htp.proj.dims"": [2048], ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
level3,levels,full,Sensitivity to number of levels at fixed full code width,"Auxiliary head count/parameters change; report as structural package, not parameter-matched causal proof","{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.pdyn.dims"": [128, 512, 2048], ""agent.htp.pdyn.strides"": [16, 4, 1], ""agent.htp.proj.dims"": [128, 512, 2048], ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
slim,slim,slim_zero,"Prediction directly on h, size12m dim2560",,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": true, ""agent.htp.pdyn.dims"": [128, 256, 512, 1024, 2560], ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": false, ""agent.htp.use_recon"": false, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
slim_zero,slim,baseline,Raw-h scaffold control with prediction head but zero weight,,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": true, ""agent.htp.pdyn.dims"": [128, 256, 512, 1024, 2560], ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": false, ""agent.htp.use_recon"": false, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 0.0, ""agent.loss_scales.htp_rec"": 1.0}"
slim_posthoc,slim,slim_zero,Negative control: learned predictor cannot affect representation,,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.pdyn.dims"": [128, 256, 512, 1024, 2560], ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": false, ""agent.htp.use_recon"": false, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
slim_variance,slim,slim,Variance regularizer contribution,"Variance-only regularization, NOT full VICReg; only this ablation adds it","{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": true, ""agent.htp.pdyn.dims"": [128, 256, 512, 1024, 2560], ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": false, ""agent.htp.use_recon"": false, ""agent.htp.use_vicreg"": true, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
slim_variance_only,slim,slim_zero,Distinguish variance regularization alone from prediction,,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": true, ""agent.htp.pdyn.dims"": [128, 256, 512, 1024, 2560], ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": false, ""agent.htp.use_recon"": false, ""agent.htp.use_vicreg"": true, ""agent.loss_scales.htp_pdyn"": 0.0, ""agent.loss_scales.htp_rec"": 1.0}"
warmup_40000,timing,full,Turn auxiliaries on at exact executed-action counter,All heads exist from start; not pure Dreamer warmup,"{""agent.htp.ablation_warmup_actions"": 40000, ""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
early_60000,timing,warmup_40000,Same nominal active action window at start versus end,Prefill/update cadence mean active optimizer counts need logging; nominal duration is not exact update matching,"{""agent.htp.ablation_stop_actions"": 60000, ""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
warmup_60000,timing,full,Turn auxiliaries on at exact executed-action counter,All heads exist from start; not pure Dreamer warmup,"{""agent.htp.ablation_warmup_actions"": 60000, ""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
early_40000,timing,warmup_60000,Same nominal active action window at start versus end,Prefill/update cadence mean active optimizer counts need logging; nominal duration is not exact update matching,"{""agent.htp.ablation_stop_actions"": 40000, ""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
warmup_80000,timing,full,Turn auxiliaries on at exact executed-action counter,All heads exist from start; not pure Dreamer warmup,"{""agent.htp.ablation_warmup_actions"": 80000, ""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
early_20000,timing,warmup_80000,Same nominal active action window at start versus end,Prefill/update cadence mean active optimizer counts need logging; nominal duration is not exact update matching,"{""agent.htp.ablation_stop_actions"": 20000, ""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
raw_readout_full,readout,full,Read h rather than z in policy/value/reward/continuation,Readout input width changes; raw_readout_full vs raw_readout_flat is the auxiliary-only negative control,"{""agent.htp.ablation_raw_readout"": true, ""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
raw_readout_flat,readout,flat,Read h rather than z in policy/value/reward/continuation,Readout input width changes; raw_readout_full vs raw_readout_flat is the auxiliary-only negative control,"{""agent.htp.ablation_raw_readout"": true, ""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 0.0, ""agent.loss_scales.htp_rec"": 0.0}"
